"","AF293_Azole_1","AF293_Azole_2","AF293_Azole_3","CEA10_Azole_1","CEA10_Azole_2","CEA10_Azole_3"
"AFUB_000010-T",0.0933479948172501,0.0287707717574417,0.128941583338206,6.21700470549116,6.6608294433506,12.3287019033399
"AFUB_000020-T",0.217811987906917,0.0431561576361625,0.161176979172757,18.5628296525658,15.7576193688408,27.8689325224557
"AFUB_000030-T",0.0155579991362084,0.0287707717574417,0.0322353958345514,6.33458399070139,11.58984323143,12.9531658202963
"AFUB_000040-T",0.0622319965448334,0.115083087029767,0.257883166676412,40.7706171466489,44.4372478577819,37.1823657982059
"AFUB_000050-T",0.0311159982724167,0.086312315272325,0.0967061875036544,17.5634057282788,15.3389386609731,4.4247728972913
"AFUB_000060-T",0.124463993089667,0.115083087029767,0.257883166676412,25.779258282344,38.7850583015672,11.0619322432283
"AFUB_000090-T",0,0,0,0.323343034328145,0,0
"AFUB_000100-T",0,0,0,1.24927990535874,0.076123765066864,0
"AFUB_000110-T",1.33798792571392,1.28029934320615,1.24106273963023,179.690542622541,226.658510486588,210.943911147883
"AFUB_000120-T",0.140021992225875,0.143853858787208,0.128941583338206,10.4498589730596,16.8804449035771,17.5385151533764
"AFUB_000140-T",0,0,0,1.05821356689211,0,0.535254785962658
"AFUB_000150-T",0,0,0,1.26397731601002,0,0
"AFUB_000160-T",0.311159982724167,0.0287707717574417,0.45129554168372,1.11700320949723,0,3.03311045378839
"AFUB_000170-T",0,0,0,0.205763749117911,0,0
"AFUB_000180-T",0.746783958538001,1.06451855502534,0.322353958345515,0.0587896426051173,0,2.42648836303071
"AFUB_000190-T",1.77361190152775,0.0287707717574417,0.290118562510963,1.13170062014851,0,2.64059027741578
"AFUB_000200-T",0,0.0143853858787208,0.483530937518272,1.55792552903561,0,0.0356836523975105
"AFUB_000210-T",1.120175937807,0.417176190482904,0.934826479201992,0.558501604748615,0,0
"AFUB_000220-T",0.28004398445175,0.3452492610893,0.0322353958345514,0,0,0.981300440931539
"AFUB_000230-T",0,0.0575415435148833,0,5.05590926404009,4.30099272627781,0.142734609590042
"AFUB_000240-T",13.0220452770064,14.1120635470251,7.36578794819501,11.8755078062337,14.7489794817049,16.2895873194635
"AFUB_000250-T",0.995711944717335,1.23714318556999,0.805884895863786,0.044092231953838,2.16952730440562,0.071367304795021
"AFUB_000260-T",5.44529969767292,2.84830640398673,6.14084290648205,5.70259533269638,0.19030941266716,3.56836523975105
"AFUB_000270-T",76.3742177596468,116.161990970671,100.880671264229,36.0380509169369,38.6708726539669,9.79516258311663
"AFUB_000280-T",6.90775161647651,10.1129262727407,12.2333327192123,16.6374688572482,21.714303985323,8.1358727466324
"AFUB_000290-T",22.9947227233159,17.0898384239204,21.1464196674658,39.5213372412901,83.2984299244159,43.4270049677703
"AFUB_000300-T",57.4401328108812,48.2917403948658,42.4217809182697,153.088229343726,124.195922706589,152.779557739941
"AFUB_000310-T",48.9299072833753,41.0990474555054,44.2269630850046,29.3654264812561,17.356218435245,9.6881116259241
"AFUB_000320-T",3.23606382033134,1.63993399017418,2.57883166676412,1.49913588643049,5.15738508328003,5.28118055483155
"AFUB_000330-T",1.33798792571392,0.431561576361625,0.870355687532889,0.705475711261408,0,3.49699793495603
"AFUB_000340-T",18.0628369971379,20.7293410512367,32.7189267720697,52.9400731659082,44.4182169165151,41.4465622597085
"AFUB_000350-T",6.82996162079547,4.22930344834393,5.49613498979102,6.17291247353732,6.85113885601776,2.81900853940333
"AFUB_000360-T",3.57833980132792,6.2144866996074,0.741414104194683,6.37867622265523,7.65043838921983,9.5275351901353
"AFUB_000370-T",0.528971970631084,0.819966995087088,0.967061875036543,2.52795463202005,0,2.3908047106332
