"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_063960-T",39002.9754331676,-3.57197418116734,0.109757973487635,1.35423378209567e-233,1.16748494354467e-229
"AFUB_090430-T",6233.99669474635,-2.88476366153334,0.115528017290984,8.05180046253351e-139,3.47072858937507e-135
"AFUB_047590-T",3418.98928352592,-3.04671328081715,0.128190955405329,3.76518059090459e-126,1.08198739580628e-122
"AFUB_017380-T",13754.1742195083,-3.39412650214499,0.16189519426435,1.7376940972451e-99,3.7451652030875e-96
"AFUB_006090-T",23059.9367882762,-2.61392215407276,0.127631014599949,1.78168039088059e-94,3.07197332995631e-91
"AFUB_030790-T",78466.947965745,-2.59821827028757,0.132972936175022,3.37433947163811e-86,4.84836343083203e-83
"AFUB_084150-T",40904.1285061971,-2.69018856088518,0.15552263619331,2.65882349187151e-68,3.27453104620347e-65
"AFUB_003560-T",5943.02162328246,-3.23891852278542,0.188663569602367,2.49173914118115e-67,2.68516039201533e-64
"AFUB_099400-T",30342.0945629893,-2.8834854106855,0.174709110393262,1.82134426036545e-62,1.74464542984562e-59
"AFUB_041100-T",163850.846422207,-1.46034593168857,0.110503742977583,4.42399227744164e-41,3.81392374238243e-38
"AFUB_093140-T",7740.48840721402,-1.97112716618348,0.156098342952681,9.25827499392756e-38,7.25596261114995e-35
"AFUB_011820-T",34950.9347702488,-1.3844188348296,0.109595806013844,1.05343289057776e-37,7.56803745805906e-35
"AFUB_003610-T",2447.33635162928,-4.4027457513057,0.37773056683146,1.05249068156085e-32,6.97963243518163e-30
"AFUB_047580-T",2308.37667800511,-2.7708626849542,0.243017785501798,2.14174631240375e-31,1.31885678280234e-28
"AFUB_065820-T",34571.3697919193,-1.15562350258859,0.103113176250368,3.32908814170029e-30,1.91333792463988e-27
"AFUB_090280-T",1876.90283637751,-1.71846162963926,0.154317035004357,5.40448697259122e-30,2.91200513691931e-27
"AFUB_019790-T",14749.1295780087,-1.25273422896816,0.116213392895368,3.50453929321822e-28,1.77721372040201e-25
"AFUB_088610-T",5834.20949092711,-1.55665130385614,0.148364792617653,6.25206960228189e-27,2.9943940022929e-24
"AFUB_057560-T",1287.02486995787,-2.18231446929392,0.210632603582727,2.1217266139143e-26,9.26290669699522e-24
"AFUB_098170-T",60328.9818394762,-1.91497197705842,0.184705482108591,2.14891699269115e-26,9.26290669699522e-24
"AFUB_015800-T",9464.71118089071,-1.27469883252495,0.122759221240909,2.3425775332508e-26,9.61683853055006e-24
"AFUB_003250-T",11023.1796295223,-1.21008812195197,0.119422449327161,3.24976597590986e-25,1.27346511265086e-22
"AFUB_070260-T",32774.8547333365,-0.86979686418487,0.0866742498614848,1.77617620780717e-24,6.65757177717634e-22
"AFUB_021050-T",27541.234220819,2.77117997179337,0.280651165067774,3.36997804260265e-24,1.21052419605323e-21
"AFUB_019090-T",12506.1292493122,-1.19861135039422,0.121221643501906,3.85287876863247e-24,1.31875849454721e-21
"AFUB_093620-T",15764.2735052095,-1.13777952724335,0.115006146076406,3.97723243918657e-24,1.31875849454721e-21
"AFUB_099390-T",3772.834853394,-1.3128408223033,0.135117796788228,1.98343044913475e-23,6.33301996370025e-21
"AFUB_100430-T",2956.84925219228,-1.61616763839187,0.170185563772403,1.42153898462239e-22,4.37681699515343e-20
"AFUB_092660-T",25088.1201520425,0.947719840794121,0.102588384352371,3.00694316095386e-21,8.93891620364939e-19
"AFUB_073440-T",11492.7207620295,-1.71313026306107,0.18766948797546,5.79495099937888e-21,1.66527575218818e-18
"AFUB_090110-T",10786.8459644924,-1.67055567194665,0.184561992970383,8.98253445876575e-21,2.49801385706515e-18
"AFUB_083470-T",17139.8594452996,-0.867397774272787,0.0950671865085692,1.5049861965313e-20,4.0545268750926e-18
"AFUB_087120-T",2105.86170229738,-1.78674991014155,0.201735604597863,4.97992579901555e-20,1.30096788828221e-17
"AFUB_085360-T",1020.46994237456,-2.9500997010757,0.337839713957372,1.2495635746766e-19,3.09647925986635e-17
"AFUB_089270-T",20125.7830996328,-1.39502724238365,0.158938813346407,1.25712532299411e-19,3.09647925986635e-17
"AFUB_000610-T",3029.53544768925,-1.84800466677321,0.211390499175425,1.39617400985738e-19,3.30300893301633e-17
"AFUB_070850-T",5203.80854069785,-1.22292388579834,0.139399124178378,1.41760040043619e-19,3.30300893301633e-17
"AFUB_047810-T",1153.10728071436,1.68161233534022,0.192354704101622,1.54895892923248e-19,3.51409866550348e-17
"AFUB_045800-T",4641.17020599926,-2.93469446572597,0.337183393319928,1.60971863865788e-19,3.5583036881717e-17
"AFUB_030800-T",3168.94414724514,-1.85610911412349,0.215966555177571,4.82162467405054e-19,1.03918065787474e-16
"AFUB_023180-T",32998.6886528498,-1.16174949265109,0.135484137790606,7.82200304101696e-19,1.6447192247953e-16
"AFUB_001050-T",20521.6314148788,-0.608059063719901,0.0701231915052056,8.51333900541961e-19,1.74746418013625e-16
"AFUB_013890-T",20171.6231170445,-1.25415352367072,0.149353003803377,4.68169042624283e-18,9.38624492200918e-16
"AFUB_018340-T",30894.9609923535,-1.84453237846577,0.223056638380443,8.00320700539663e-18,1.56808289985283e-15
"AFUB_050370-T",14924.8464096676,-1.20927191956306,0.146064826313244,1.03300154521616e-17,1.97900140473522e-15
"AFUB_010910-T",22403.2132044163,1.03137046083513,0.124913937994624,1.17724649854689e-17,2.20631349216799e-15
"AFUB_070460-T",10868.6417344614,-2.36614585675063,0.289157372981984,1.25649808703811e-17,2.30473829965012e-15
"AFUB_047350-T",2187.69577382595,-1.26425419274953,0.153521135041505,1.3764062083018e-17,2.47208290036871e-15
"AFUB_067530-T",36340.8518357947,1.8468507584061,0.226698220108594,1.71648229327935e-17,3.01995792864515e-15
"AFUB_049210-T",424.213172429827,-3.09025686347344,0.379792031402506,1.97980662012534e-17,3.4135825744201e-15
"AFUB_042790-T",16998.4271677593,-1.18611011621905,0.146541260170296,4.61425613226048e-17,7.79990237572895e-15
"AFUB_080970-T",1226.70866662743,-1.97372812175966,0.245248966179151,4.82840067489801e-17,8.00493119582611e-15
"AFUB_091940-T",10535.6488373956,1.23573213351828,0.153898861119672,4.94525673506663e-17,8.04397326660554e-15
"AFUB_007880-T",1553.77693500243,-1.1296550873658,0.143903911013188,2.10736443508661e-16,3.36436829534846e-14
"AFUB_039980-T",1217.96296116827,-2.73774590763443,0.351339484547166,3.28549199061127e-16,5.14985935473814e-14
"AFUB_084050-T",6406.07161566052,1.91927848977274,0.246425844372993,4.61080363096177e-16,7.0981675183074e-14
"AFUB_049120-T",9928.59644231893,-1.00912684723934,0.129505794340381,9.86681695621243e-16,1.49231278911416e-13
"AFUB_073360-T",3502.75855937919,1.49344953287262,0.195547232732151,1.5635819299413e-15,2.32407583069379e-13
"AFUB_044960-T",654.080043689481,-1.72402759958374,0.226712628639136,1.74928094940111e-15,2.55602560420118e-13
"AFUB_041670-T",1510.9770441082,2.34885163153223,0.310080374645484,1.91444706743866e-15,2.75074136139812e-13
"AFUB_024580-T",45950.3335300007,-0.890135524658215,0.117175528392477,3.52099778543783e-15,4.97615113250156e-13
"AFUB_094350-T",9027.15265813638,-1.08525537387881,0.144677732490592,5.41633322917246e-15,7.50620886904095e-13
"AFUB_088080-T",5814.77101961674,-0.812977053641805,0.106558643743132,5.48533996925623e-15,7.50620886904095e-13
"AFUB_021350-T",3796.43945048934,-0.809960683012505,0.107638135812002,7.09594796419859e-15,9.55846365614938e-13
"AFUB_039210-T",28902.299575457,-0.912330538042779,0.122130807833908,9.06221775153039e-15,1.20192891132221e-12
"AFUB_062080-T",488.398711346969,-1.68116559830821,0.229176962029934,1.3851041298774e-14,1.80923980358683e-12
"AFUB_053680-T",16041.5765144709,-0.752124045978092,0.101154088394383,1.4665064719093e-14,1.88697795437762e-12
"AFUB_013960-T",5171.307462259,-0.965771730625924,0.132167918174903,2.84719055490665e-14,3.58094537609007e-12
"AFUB_000690-T",3723.45514380621,-2.39410430619118,0.332017668513233,2.86608549994449e-14,3.58094537609007e-12
"AFUB_051820-T",11402.2421998111,-1.5448006742139,0.213737064608329,3.1362358838715e-14,3.82996182648361e-12
