"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_071160-T",9786.22262478782,6.99905081421964,0.163751205833147,0,0
"AFUB_071640-T",12776.5166302512,7.47887988508788,0.19038709596317,0,0
"AFUB_080125-T",11858.9806545796,7.05471396096388,0.162192904521046,0,0
"AFUB_097510-T",11088.5074518439,7.26938146093994,0.168705000789382,0,0
"AFUB_000110-T",6295.56879125899,7.3111660003499,0.202956248847183,2.93248352430874e-285,5.50837705206154e-282
"AFUB_080170-T",7905.62715785552,7.0831956349007,0.20389450934874,9.06706302544092e-266,1.41929759891569e-262
"AFUB_080240-T",19215.1398383275,7.38452964923849,0.220490488758929,3.86694631337875e-247,5.18833711075046e-244
"AFUB_075270-T",19411.3583790587,7.20365937953635,0.215166224978274,5.56666328163552e-247,6.5352626926401e-244
"AFUB_044280-T",5488.28302848144,6.98021157341775,0.209901131365243,1.16716612719464e-243,1.21800269629023e-240
"AFUB_048510-T",6494.32142269667,7.11312510247794,0.217974378337735,9.261079728606e-235,8.69800608110675e-232
"AFUB_096890-T",11438.7658101179,7.45864085876532,0.230465287630791,5.5036106101641e-231,4.69908280460557e-228
"AFUB_071130-T",21796.6693395387,7.51210320648262,0.23346074651236,1.79603589733726e-228,1.40569742898263e-225
"AFUB_066530-T",7287.06797005122,7.46462737502454,0.239128922638246,3.36237903891093e-215,2.42918953334242e-212
"AFUB_097810-T",4865.46822167088,7.34282668307405,0.236039125298341,1.57866039637599e-213,1.05905560305452e-210
"AFUB_044330-T",4265.66046861067,7.17866615134034,0.234342484294292,4.59288342465405e-207,2.87575740829005e-204
"AFUB_075430-T",13927.5371429469,7.44044456402761,0.243635643486701,3.70522503120486e-206,2.17496709331725e-203
"AFUB_072950-T",5522.56539007424,7.35147800196799,0.245301494300531,1.63038086102575e-198,9.00737473338464e-196
"AFUB_066520-T",4369.26146895565,7.30450819572573,0.245645185020715,1.32607064124218e-195,6.919141923637e-193
"AFUB_097420-T",6732.53984350248,7.04164970303855,0.243403780566098,2.88049573748575e-185,1.42387452455085e-182
"AFUB_071500-T",4534.36439639196,7.58987661774148,0.264890924071279,7.46382077495142e-182,3.50501023591719e-179
"AFUB_097530-T",8472.45299180681,7.1831030131116,0.25184530154003,9.69014737706523e-180,4.33380305549508e-177
"AFUB_048440-T",10897.1434093797,7.67670785702581,0.269619361034712,1.3705838484806e-179,5.85114704769537e-177
"AFUB_072925-T",5342.99196857979,7.39178270442388,0.271194362849608,7.24254902170854e-165,2.9574791483429e-162
"AFUB_071060-T",5487.10538917478,7.21214982351137,0.269145748512023,3.37779307813455e-159,1.32184302457665e-156
"AFUB_080230-T",12448.727910038,7.34678445353324,0.27438728710088,4.04500580048458e-159,1.51962777912605e-156
"AFUB_097850-T",8349.74448815083,7.41046811149476,0.280903725872803,1.22707215454645e-154,4.43256218288471e-152
"AFUB_075390-T",6086.71874200954,6.85167050202726,0.259707951661605,1.70693769761351e-154,5.93761439110596e-152
"AFUB_045650-T",2404.91463991943,6.89661262071159,0.261552584334062,2.1783159211974e-154,7.30669397567355e-152
"AFUB_044320-T",4103.01660349729,7.25006065010931,0.281333587098491,1.25357879608491e-147,4.05986622511361e-145
"AFUB_097520-T",3433.52399305314,7.41302990237643,0.288975047532721,1.66005564416666e-146,5.19708087000442e-144
"AFUB_097450-T",3945.72485797389,7.81503099207775,0.308972980261726,2.09928169060622e-142,6.36014633489473e-140
"AFUB_071010-T",2340.72885866743,7.22351251838331,0.286798169666599,5.91877731692169e-141,1.73716114251652e-138
"AFUB_072940-T",11822.8111671845,7.19694968156755,0.288691045129577,1.9572360866056e-138,5.57041252284842e-136
"AFUB_000910-T",2647.74957721975,7.11175036499947,0.286035886300737,1.10141925177779e-137,3.04250870961676e-135
"AFUB_071630-T",3553.36474276267,7.60270278233066,0.30693737070671,1.22156622011306e-136,3.2779856969434e-134
"AFUB_070970-T",2527.90919783084,6.87197362027071,0.279978733107883,3.94284457349809e-134,1.0286443398415e-131
"AFUB_097890-T",5174.33184259155,7.36863947508109,0.30623390089647,3.5328404321618e-129,8.96768576726044e-127
"AFUB_071050-T",4902.67762208762,7.16119789031876,0.300300379427141,6.76325772191771e-127,1.67159254011187e-124
"AFUB_044350-T",2018.49250976882,6.54720616937119,0.276186591165478,1.96731793153537e-125,4.73770513153337e-123
"AFUB_096630-T",2076.31698186229,7.00175540946041,0.298935097132117,2.3469793391574e-122,5.51070748834158e-120
"AFUB_097260-T",4140.19276214901,6.47973310504968,0.277483275396025,8.00126089048359e-122,1.83287420203468e-119
"AFUB_097880-T",4352.36804050775,7.00719208509838,0.302620725791339,7.35024699795114e-120,1.6436552334466e-117
"AFUB_044300-T",3391.29065894109,7.0231060417886,0.304635587963648,1.40358636847567e-118,3.06569376109849e-116
"AFUB_097440-T",3353.48801289192,7.37182072580165,0.321237152269718,9.71645036351895e-118,2.07402049577659e-115
"AFUB_048430-T",5551.69029402753,7.30328510545463,0.319477468149469,5.55983128471254e-117,1.16039856502267e-114
"AFUB_075290-T",2098.20285023544,7.21895901932366,0.316255363892111,1.42164592825104e-116,2.90263012133344e-114
"AFUB_097920-T",1649.23760393852,6.87777588468795,0.305671385268821,3.40724584868343e-113,6.80869212996484e-111
"AFUB_101390-T",5109.85209890063,5.30132305496404,0.236059802833436,7.05624047438853e-113,1.38067105282202e-110
"AFUB_075450-T",2719.33100365474,7.41859452226685,0.337950088588574,6.51080571756006e-108,1.24794872039437e-105
"AFUB_066710-T",146151.986358925,-3.48495559687534,0.160296041939761,6.7236326432236e-106,1.26296715570312e-103
"AFUB_029480-T",113086.698509818,-3.9018715481959,0.180585839214535,1.07765465206418e-104,1.984574998468e-102
"AFUB_097560-T",2650.03262210555,7.20573841023082,0.335085103361959,8.44664866117648e-104,1.52559469664941e-101
"AFUB_048520-T",5305.5694673957,7.39253201795784,0.344639861481718,3.13702675037397e-103,5.55904815839855e-101
"AFUB_071600-T",2688.14892273418,6.85692521582042,0.32399978980827,1.64540111971785e-100,2.86177913266482e-98
"AFUB_072930-T",2727.56341395524,7.74760392886108,0.367423309313988,5.78621127995944e-100,9.88074478934165e-98
"AFUB_044400-T",1602.17142714753,7.10085631501466,0.33681165483972,8.09775922981941e-100,1.35810990511543e-97
"AFUB_044310-T",2888.24384274213,7.3463982540195,0.35006714604188,5.86764043680671e-99,9.66822438289274e-97
"AFUB_062550-T",21516.7530640231,3.47042204837085,0.165384752907302,1.9876829817878e-98,3.21867561464673e-96
"AFUB_080300-T",3642.11705773651,7.16089562020143,0.342607154687003,3.73733873983212e-98,5.94933651601751e-96
"AFUB_080160-T",2168.56962609499,7.60209249024262,0.374972707205079,9.93283355197402e-93,1.55481954533567e-90
"AFUB_080110-T",1770.34204805045,7.09793365467056,0.35242633450009,2.77128200439894e-91,4.26686566972374e-89
"AFUB_071110-T",1705.22457066572,6.5721876818931,0.33199517743999,1.82169879571431e-88,2.75957985312077e-86
"AFUB_102760-T",1670.50394724339,7.04959038944715,0.357663089169091,1.54245791732418e-87,2.29948646976328e-85
"AFUB_096650-T",1356.88713489693,7.3483141488914,0.372956480011191,1.86012071494203e-87,2.72972714917743e-85
"AFUB_097500-T",1543.86633422995,7.27163444461444,0.374967117898749,5.44598703737041e-85,7.86903234692044e-83
"AFUB_071620-T",2405.01542424583,6.76673002303794,0.350920269634199,5.20362679430893e-84,7.40491861396205e-82
"AFUB_080090-T",2469.01579165613,7.68797592409458,0.400601107108683,2.28701825690845e-83,3.20592171177375e-81
"AFUB_070980-T",1669.09921426605,6.82827342049064,0.355528482850333,2.63379916459064e-83,3.63774143438755e-81
"AFUB_096600-T",1685.78018354858,6.5448940354577,0.341113057250702,3.81411104656457e-83,5.19161318106296e-81
"AFUB_075340-T",1622.57851902233,7.0642275898644,0.370330545882035,3.65268649420027e-82,4.90086165050413e-80
"AFUB_071610-T",1527.89118544488,6.97802191142511,0.375334451876835,2.27316129229902e-78,3.00697617708062e-76
"AFUB_097900-T",1528.87050303446,6.58726642835287,0.354285042091332,2.66910603147399e-78,3.48170053438941e-76
"AFUB_101030-T",6389.40461575418,-6.88673078936069,0.374046379874171,4.14626072278471e-77,5.33447680936904e-75
"AFUB_033730-T",18539.4952314126,-3.6509663731684,0.199649013689923,7.94140739245854e-76,1.00791484094555e-73
"AFUB_001910-T",3975.28713335401,4.90307206359632,0.268436921738627,1.00937059067007e-75,1.26400114500977e-73
"AFUB_044290-T",1118.31860312448,7.03525966497866,0.388529890701592,2.30933277938397e-74,2.85384913999661e-72
"AFUB_080080-T",1761.87140467775,7.41422560183,0.410506516018203,4.1937963493948e-74,5.11534224850857e-72
"AFUB_071580-T",1121.90767715307,6.88530819115085,0.382365358450684,1.39078487892734e-73,1.67464763883149e-71
"AFUB_057130-T",72984.1469453169,-2.49363735685141,0.13870621873094,4.86067083650107e-73,5.7786608223314e-71
"AFUB_062410-T",140875.333326037,-5.37494598227408,0.304798057686612,8.06461079638527e-71,9.46785307495631e-69
"AFUB_000040-T",1244.87331071548,8.09690925415337,0.461102241531563,3.90219769855542e-70,4.52462231911512e-68
"AFUB_045790-T",1467.90520934437,7.44945882463296,0.425970692514751,1.24543766130833e-69,1.42648177012291e-67
"AFUB_087020-T",5178.65058316447,-3.85458245512263,0.222591715900373,2.56195855833878e-68,2.89902587709854e-66
"AFUB_044340-T",1102.72134131614,6.78053592661957,0.393153105776743,8.15460152326243e-68,9.1176211317239e-66
"AFUB_066510-T",1447.10524248923,7.35054627503151,0.430486796829468,1.7284530999645e-66,1.90983900174901e-64
"AFUB_071460-T",1731.83977985769,6.496466382997,0.382363395918055,5.78243427053219e-66,6.31495612428353e-64
"AFUB_070810-T",13208.4370393962,3.42501891386573,0.203750822797238,9.07174356572751e-65,9.79331213440376e-63
"AFUB_047180-T",6279.94353151273,3.17407242244791,0.188413662364681,1.06525671453552e-64,1.13691943896791e-62
"AFUB_080140-T",1166.69388924591,7.5711302123562,0.452602405987289,7.36273233407229e-64,7.76975079568617e-62
"AFUB_079180-T",3469.24046931983,5.57830670001779,0.334548756463722,1.20081637180826e-63,1.25311859600258e-61
"AFUB_013160-T",6905.56940415213,-4.07177469508171,0.247309935581173,4.85796312894825e-62,5.01384502275626e-60
"AFUB_080030-T",1152.07541093102,6.63410785521435,0.403555752058011,7.88276431392773e-62,8.04727417787057e-60
"AFUB_102230-T",1005.00444112421,6.86005147555128,0.427316489393775,3.28579462543244e-59,3.31829926043672e-57
"AFUB_048350-T",1014.92769673299,6.75220798202233,0.424558468227624,4.21782527341619e-58,4.21423563488563e-56
"AFUB_075500-T",1052.09643236863,8.057483868734,0.52534842430334,2.99044906381812e-54,2.95645237972419e-52
"AFUB_071120-T",792.705157026581,7.11195665676621,0.464900081906706,5.46635811033352e-54,5.34792035127629e-52
"AFUB_097910-T",1332.10595270336,7.4084275845545,0.484867219750512,6.68029211695741e-54,6.46817562499629e-52
"AFUB_048620-T",28005.5453823427,3.92685365297597,0.258064282449062,1.09757704614991e-53,1.05188200177959e-51
"AFUB_085990-T",5095.37400029759,3.05192033791179,0.200479170008442,2.34739316355105e-53,2.22694106990621e-51
"AFUB_044420-T",881.075035584502,7.77056590179568,0.516791858590277,6.10428425568659e-52,5.73314377294085e-50
"AFUB_102340-T",991.1857748564,7.34667721681966,0.491299310643626,8.86884897993979e-52,8.2471514474846e-50
"AFUB_063490-T",23179.3058276087,-2.42802110747028,0.163022295954144,4.25371192588764e-51,3.91675121646438e-49
"AFUB_088000-T",12505.4935783565,-2.66387852701624,0.179946456815868,1.07906046646729e-50,9.83935524374835e-49
"AFUB_035610-T",6543.66778895061,-2.63846666845137,0.179368599551387,5.96387062809449e-50,5.38583393644841e-48
"AFUB_080270-T",1052.23156441197,6.00890039753715,0.40947972320124,7.29637211765776e-50,6.52643113609921e-48
"AFUB_071150-T",813.663891106372,6.881761143893,0.47225347424573,2.72339047779077e-49,2.41302673277461e-47
"AFUB_075375-T",944.578201050768,7.7238234343985,0.532100001744299,5.92665705085911e-49,5.20216476838026e-47
"AFUB_080180-T",727.982904200746,7.52273253933552,0.522646787995991,4.26118952755522e-48,3.7056566706295e-46
"AFUB_097800-T",668.390516834932,7.42117662569744,0.520323856795208,4.74265807120847e-47,4.08651785365045e-45
"AFUB_084900-T",36639.2064356613,-3.08624091037067,0.217434001699204,9.0003450200972e-47,7.68465822079572e-45
"AFUB_071080-T",688.916030838814,7.63805406357241,0.540701464698344,2.39976499955231e-46,2.03050386268426e-44
"AFUB_036450-T",13033.6642300739,-2.65867282804434,0.190634156000234,3.48464795694063e-45,2.92212621532022e-43
"AFUB_097490-T",620.170658253878,7.54734083022608,0.544451292303689,8.59132639722035e-45,7.14068473652155e-43
"AFUB_088960-T",4201.28944106722,2.61401202039907,0.18918305073384,2.37494464055626e-44,1.95662105825477e-42
"AFUB_001950-T",1332.31618331283,4.29768692854762,0.313692471794448,7.30304615793394e-44,5.96436604481005e-42
"AFUB_002950-T",6453.09314745697,-2.97926536513335,0.221975288476089,3.81316041816276e-42,3.08734505580902e-40
