SAMPLE,Condition,Genotype,Replicate,FilenameBase
AF293_Azole_1,Azole,AF293,1,LCS9590_Af293_Azole_1_Clean_Data
AF293_Azole_2,Azole,AF293,2,LCS9590_Af293_Azole_2_Clean_Data
AF293_Azole_3,Azole,AF293,3,LCS9590_Af293_Azole_3_Clean_Data
AF293_GMM_1,GMM,AF293,1,LCS9590_Af293_GMM_1_Clean_Data
AF293_GMM_2,GMM,AF293,2,LCS9590_Af293_GMM_2_Clean_Data
AF293_GMM_3,GMM,AF293,3,LCS9590_Af293_GMM_3_Clean_Data
CEA10_Azole_1,Azole,CEA10,1,LCS9590_CEA10_Azole_1_Clean_Data
CEA10_Azole_2,Azole,CEA10,2,LCS9590_CEA10_Azole_2_Clean_Data
CEA10_Azole_3,Azole,CEA10,3,LCS9590_CEA10_Azole_3_Clean_Data
CEA10_GMM_1,GMM,CEA10,1,LCS9590_CEA10_GMM_1_Clean_Data
CEA10_GMM_2,GMM,CEA10,2,LCS9590_CEA10_GMM_2_Clean_Data
CEA10_GMM_3,GMM,CEA10,3,LCS9590_CEA10_GMM_3_Clean_Data
